os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.499991738768585e-10,6.66666721826914e-10,8.333334022836425e-10,0.0,6.666725277295477e-16,6.666725277295477e-16,6.666691395977586e-16,0.0,7.499991738768585e-10,6.66666721826914e-10,8.333334022836425e-10,0.0,6.666725277295477e-16,6.666725277295477e-16,6.666691395977586e-16,0.0
2.098500001324055e-06,2.098666666228155e-06,2.0983333328672416e-06,0.0,2.0868000001074936e-10,2.0868000001074936e-10,2.086800000039731e-10,0.0,2.098500001324055e-06,2.098666666228155e-06,2.0983333328672416e-06,0.0,2.0868000001074936e-10,2.0868000001074936e-10,2.086800000039731e-10,0.0
6.284416667057258e-06,6.284666667966121e-06,6.284166667924751e-06,0.0,6.254366666767503e-10,6.254366666767503e-10,6.25436666669974e-10,0.0,6.284416667057258e-06,6.284666667966121e-06,6.284166667924751e-06,0.0,6.254366666767503e-10,6.254366666767503e-10,6.25436666669974e-10,0.0
1.2560333335187579e-05,1.2560666668548492e-05,1.2560000001826666e-05,0.0,1.2496800000117445e-09,1.2496800000117445e-09,1.249679999998192e-09,0.0,1.2560333335187579e-05,1.2560666668548492e-05,1.2560000001826666e-05,0.0,1.2496800000117445e-09,1.2496800000117445e-09,1.249679999998192e-09,0.0
2.0909583334116633e-05,2.0909999999929596e-05,1.2556666666441174e-05,0.0,2.0808233333412902e-09,2.0808233333412902e-09,1.249593333335305e-09,0.0,2.0909583334116633e-05,2.0909999999929596e-05,1.2556666666441174e-05,0.0,2.0808233333412902e-09,2.0808233333412902e-09,1.249593333335305e-09,0.0
3.133550000100627e-05,3.133599999927128e-05,1.463000000079262e-05,0.0,3.1182733333402074e-09,3.1182733333402074e-09,1.4558133333282368e-09,0.0,3.133550000100627e-05,3.133599999927128e-05,1.463000000079262e-05,0.0,3.1182733333402074e-09,3.1182733333402074e-09,1.4558133333282368e-09,0.0
4.3824749999643586e-05,4.3825333332137006e-05,1.8766666665115395e-05,0.0,4.361456666662636e-09,4.361456666662636e-09,1.8677666666446803e-09,0.0,4.3824749999643586e-05,4.3825333332137006e-05,1.8766666665115395e-05,0.0,4.361456666662636e-09,4.361456666662636e-09,1.8677666666446803e-09,0.0
5.837399999997217e-05,5.8374666666694e-05,2.4963333334682147e-05,0.0,5.809786666701898e-09,5.809786666701898e-09,2.4848666666779564e-09,0.0,5.837399999997217e-05,5.8374666666694e-05,2.4963333334682147e-05,0.0,5.809786666701898e-09,5.809786666701898e-09,2.4848666666779564e-09,0.0
7.497658333299739e-05,7.497733333217127e-05,2.496083333269894e-05,0.0,7.462690000030817e-09,7.462690000030817e-09,2.4846966666775515e-09,0.0,7.497658333299739e-05,7.497733333217127e-05,2.496083333269894e-05,0.0,7.462690000030817e-09,7.462690000030817e-09,2.4846966666775515e-09,0.0
9.362916666866283e-05,9.363000000028876e-05,2.7008333335132306e-05,0.0,9.319593333357743e-09,9.319593333357743e-09,2.6885266667022595e-09,0.0,9.362916666866283e-05,9.363000000028876e-05,2.7008333335132306e-05,0.0,9.319593333357743e-09,9.319593333357743e-09,2.6885266667022595e-09,0.0
0.00011432175000081202,0.00011432266666666635,3.1095833334049416e-05,0.0,1.1379930000014662e-08,1.1379930000014662e-08,3.095790000002749e-09,0.0,0.00011432175000081202,0.00011432266666666635,3.1095833334049416e-05,0.0,1.1379930000014662e-08,1.1379930000014662e-08,3.095790000002749e-09,0.0
0.00013704766666755575,0.00013704866666586213,3.7216666665784714e-05,0.0,1.3643126666709922e-08,1.3643126666709922e-08,3.705913333368685e-09,0.0,0.00013704766666755575,0.00013704866666586213,3.7216666665784714e-05,0.0,1.3643126666709922e-08,1.3643126666709922e-08,3.705913333368685e-09,0.0
0.00016180691666711766,0.00016180799999965245,3.721583333415879e-05,0.0,1.6108603333338505e-08,1.6108603333338505e-08,3.705633333305836e-09,0.0,0.00016180691666711766,0.00016180799999965245,3.721583333415879e-05,0.0,1.6108603333338505e-08,1.6108603333338505e-08,3.705633333305836e-09,0.0
0.00018858616666506123,0.00018858733333004807,3.92349999973618e-05,0.0,1.877586000001083e-08,1.877586000001083e-08,3.907133333340938e-09,0.0,0.00018858616666506123,0.00018858733333004807,3.92349999973618e-05,0.0,1.877586000001083e-08,1.877586000001083e-08,3.907133333340938e-09,0.0
0.00021738541666671551,0.00021738666666593076,4.327416666605188e-05,0.0,2.1644316666703193e-08,2.1644316666703193e-08,4.309833333368974e-09,0.0,0.00021738541666671551,0.00021738666666593076,4.327416666605188e-05,0.0,2.1644316666703193e-08,2.1644316666703193e-08,4.309833333368974e-09,0.0
0.00024819800000130954,0.00024819933333297683,4.932666666768171e-05,0.0,2.4713373333385465e-08,2.4713373333385465e-08,4.913133333332709e-09,0.0,0.00024819800000130954,0.00024819933333297683,4.932666666768171e-05,0.0,2.4713373333385465e-08,2.4713373333385465e-08,4.913133333332709e-09,0.0
